name,current_rank,current_pts
Sofia Rojas,936,28
Isabel Skoog,937,28
Linda Ševčíková,938,28
Maddalena Giordano,939,28
Ana Konjuh,940,27
Ana Filipa Santos,941,27
Sonal Patil,942,27
Selina Dal,943,27
Ashleigh Simes,944,27
Lavinia Tanasie,945,27
Emma Ghirardato,946,27
Kaitlyn Carnicella,947,27
Ava Hrastar,948,27
Karla Bartel,949,27
Stefaniya Pushkar,950,27
Rikke de Koning,951,27
Anna Sedysheva,952,27
Anna Kmiecik,953,27
Lavinia Luciano,954,27
Natalia Sousa Salazar,955,26
Lya Fernandez,956,26
Alesia Breaz,957,26
Elizabeth Coleman,958,26
Valentina Losciale,959,26
Didi Bredberg Canizares,960,26
Anna Pushkareva,961,26
Matilde Mariani,962,26
Sevil Yuldasheva,963,26
Angelina Wirges,964,26
Wozuko Mdlulwa,965,26
Irina Fetecău,966,25
Victoria Luiza Barros,967,25
Elyse Tse,968,25
Lorena Schädel,969,25
Tina Manescu,970,25
Onyu Choi,971,25
Adriana Reami,972,25
Riya Bhatia,973,24
Victoria Brand,974,24
Allura Zamarripa,975,24
Federica Trevisan,976,24
Veronica Miroshnichenko,977,24
Yanan Hou,978,24
Lourdes Ayala,979,24
Romane Longueville,980,24
I Wen Wan,981,24
Marie Mattel,982,24
Polina Bakhmutkina,983,24
Patricia Goina,984,24
Nicole Gadient,985,24
Selina Atay,986,23
Eva Maria Ionescu,987,23
Diae El Jardi,988,23
Thara Gowda,989,23
Kate Mansfield,990,23
Anastasiya Kuparev,991,23
Monika Stankiewicz,992,23
Sera Nishimoto,993,23
Rachel Gailis,994,22
Emma Malmkjaer,995,22
Lucie Pawlak,995,22
Kim Chiarello,997,22
Sarah Melany Fajmonová,998,22
Solymar Colling,999,22
